Employee Category ,Year,Month,Type,Total_Strength
STAFF,2005,July     ,IN,3
STAFF,2005,June     ,IN,9
STAFF,2005,March    ,IN,3
STAFF,2005,May      ,IN,3
STAFF,2005,November ,IN,5
STAFF,2005,October  ,IN,4
STAFF,2005,September,IN,10
LABOUR,2006,April    ,IN,25
LABOUR,2006,April    ,OUT,11
LABOUR,2006,August   ,IN,18
LABOUR,2006,August   ,OUT,14
LABOUR,2006,December ,IN,61
LABOUR,2006,December ,OUT,9
LABOUR,2006,February ,IN,52
LABOUR,2006,February ,OUT,10
LABOUR,2006,January  ,IN,32
LABOUR,2006,January  ,OUT,7
LABOUR,2006,July     ,IN,27
LABOUR,2006,July     ,OUT,14
LABOUR,2006,June     ,IN,18
LABOUR,2006,June     ,OUT,8
LABOUR,2006,March    ,IN,48
LABOUR,2006,March    ,OUT,8
LABOUR,2006,May      ,IN,30
LABOUR,2006,May      ,OUT,6
LABOUR,2006,November ,IN,42
LABOUR,2006,November ,OUT,7
LABOUR,2006,October  ,IN,19
LABOUR,2006,October  ,OUT,8
LABOUR,2006,September,IN,27
LABOUR,2006,September,OUT,12
OMANI,2006,January  ,IN,1
OMANI,2006,November ,IN,4
OMANI,2006,October  ,IN,1
STAFF,2006,April    ,IN,3
STAFF,2006,August   ,IN,2
STAFF,2006,December ,IN,8
STAFF,2006,December ,OUT,1
STAFF,2006,February ,IN,4
STAFF,2006,February ,OUT,1
STAFF,2006,January  ,IN,3
STAFF,2006,July     ,IN,1
STAFF,2006,June     ,IN,3
STAFF,2006,March    ,IN,3
STAFF,2006,May      ,IN,3
STAFF,2006,May      ,OUT,1
STAFF,2006,November ,IN,7
STAFF,2006,October  ,IN,3
STAFF,2006,September,IN,3
LABOUR,2007,April    ,IN,54
LABOUR,2007,April    ,OUT,24
LABOUR,2007,August   ,IN,22
LABOUR,2007,August   ,OUT,23
LABOUR,2007,December ,IN,25
LABOUR,2007,December ,OUT,5
LABOUR,2007,February ,IN,96
LABOUR,2007,February ,OUT,8
LABOUR,2007,January  ,IN,97
LABOUR,2007,January  ,OUT,10
LABOUR,2007,July     ,IN,10
LABOUR,2007,July     ,OUT,22
LABOUR,2007,June     ,IN,9
LABOUR,2007,June     ,OUT,18
LABOUR,2007,March    ,IN,103
LABOUR,2007,March    ,OUT,14
LABOUR,2007,May      ,IN,27
LABOUR,2007,May      ,OUT,16
LABOUR,2007,November ,IN,41
LABOUR,2007,November ,OUT,12
LABOUR,2007,October  ,IN,19
LABOUR,2007,October  ,OUT,10
LABOUR,2007,September,IN,32
LABOUR,2007,September,OUT,21
OMANI,2007,April    ,IN,1
OMANI,2007,August   ,IN,2
OMANI,2007,December ,IN,4
OMANI,2007,January  ,IN,1
OMANI,2007,July     ,IN,1
OMANI,2007,June     ,IN,1
OMANI,2007,March    ,IN,1
OMANI,2007,May      ,IN,2
OMANI,2007,November ,IN,2
OMANI,2007,October  ,IN,2
OMANI,2007,September,IN,1
STAFF,2007,April    ,IN,5
STAFF,2007,April    ,OUT,2
STAFF,2007,August   ,IN,4
STAFF,2007,December ,IN,12
STAFF,2007,December ,OUT,1
STAFF,2007,February ,IN,10
STAFF,2007,February ,OUT,1
STAFF,2007,January  ,IN,5
STAFF,2007,July     ,IN,1
STAFF,2007,July     ,OUT,1
STAFF,2007,June     ,IN,2
STAFF,2007,June     ,OUT,2
STAFF,2007,March    ,IN,10
STAFF,2007,May      ,IN,2
STAFF,2007,May      ,OUT,1
STAFF,2007,November ,IN,8
STAFF,2007,October  ,IN,3
STAFF,2007,October  ,OUT,1
STAFF,2007,September,IN,5
STAFF,2007,September,OUT,5
LABOUR,2008,April    ,IN,44
LABOUR,2008,April    ,OUT,12
LABOUR,2008,August   ,IN,14
LABOUR,2008,December ,IN,54
LABOUR,2008,February ,IN,67
LABOUR,2008,February ,OUT,8
LABOUR,2008,January  ,IN,46
LABOUR,2008,January  ,OUT,8
LABOUR,2008,July     ,IN,36
LABOUR,2008,June     ,IN,89
LABOUR,2008,June     ,OUT,4
LABOUR,2008,March    ,IN,63
LABOUR,2008,March    ,OUT,6
LABOUR,2008,May      ,IN,84
LABOUR,2008,November ,IN,54
LABOUR,2008,October  ,IN,42
LABOUR,2008,September,IN,5
OMANI,2008,April    ,IN,7
OMANI,2008,August   ,IN,4
OMANI,2008,December ,IN,1
OMANI,2008,February ,IN,1
OMANI,2008,January  ,IN,3
OMANI,2008,July     ,IN,1
OMANI,2008,June     ,IN,2
OMANI,2008,March    ,IN,5
OMANI,2008,May      ,IN,2
OMANI,2008,November ,IN,16
OMANI,2008,October  ,IN,14
OMANI,2008,September,IN,11
STAFF,2008,April    ,IN,11
STAFF,2008,April    ,OUT,1
STAFF,2008,August   ,IN,4
STAFF,2008,December ,IN,3
STAFF,2008,February ,IN,13
STAFF,2008,February ,OUT,1
STAFF,2008,January  ,IN,10
STAFF,2008,July     ,IN,11
STAFF,2008,June     ,IN,10
STAFF,2008,March    ,IN,14
STAFF,2008,March    ,OUT,2
STAFF,2008,May      ,IN,15
STAFF,2008,November ,IN,15
STAFF,2008,October  ,IN,11
STAFF,2008,September,IN,1
LABOUR,2009,April    ,IN,20
LABOUR,2009,April    ,OUT,6
LABOUR,2009,August   ,IN,19
LABOUR,2009,August   ,OUT,18
LABOUR,2009,December ,IN,219
LABOUR,2009,December ,OUT,9
LABOUR,2009,February ,IN,22
LABOUR,2009,February ,OUT,1
LABOUR,2009,January  ,IN,35
LABOUR,2009,July     ,IN,21
LABOUR,2009,July     ,OUT,18
LABOUR,2009,June     ,IN,19
LABOUR,2009,June     ,OUT,10
LABOUR,2009,March    ,IN,24
LABOUR,2009,March    ,OUT,9
LABOUR,2009,May      ,IN,17
LABOUR,2009,May      ,OUT,10
LABOUR,2009,November ,IN,9
LABOUR,2009,November ,OUT,20
LABOUR,2009,October  ,IN,24
LABOUR,2009,October  ,OUT,15
LABOUR,2009,September,IN,2
LABOUR,2009,September,OUT,17
OMANI,2009,April    ,IN,5
OMANI,2009,August   ,IN,8
OMANI,2009,December ,IN,77
OMANI,2009,February ,IN,4
OMANI,2009,January  ,IN,5
OMANI,2009,July     ,IN,8
OMANI,2009,June     ,IN,4
OMANI,2009,March    ,IN,3
OMANI,2009,May      ,IN,11
OMANI,2009,November ,IN,50
OMANI,2009,October  ,IN,24
OMANI,2009,September,IN,11
STAFF,2009,April    ,IN,2
STAFF,2009,April    ,OUT,1
STAFF,2009,August   ,IN,3
STAFF,2009,December ,IN,14
STAFF,2009,December ,OUT,1
STAFF,2009,February ,IN,5
STAFF,2009,January  ,IN,8
STAFF,2009,July     ,IN,4
STAFF,2009,March    ,IN,3
STAFF,2009,May      ,IN,3
STAFF,2009,May      ,OUT,1
STAFF,2009,November ,IN,2
STAFF,2009,October  ,IN,2
STAFF,2009,September,IN,5
STAFF,2009,September,OUT,1
LABOUR,2010,April    ,IN,20
LABOUR,2010,April    ,OUT,27
LABOUR,2010,August   ,IN,58
LABOUR,2010,August   ,OUT,24
LABOUR,2010,December ,IN,68
LABOUR,2010,December ,OUT,22
LABOUR,2010,February ,IN,67
LABOUR,2010,February ,OUT,13
LABOUR,2010,January  ,IN,133
LABOUR,2010,January  ,OUT,488
LABOUR,2010,July     ,IN,124
LABOUR,2010,July     ,OUT,30
LABOUR,2010,June     ,IN,72
LABOUR,2010,June     ,OUT,25
LABOUR,2010,March    ,IN,33
LABOUR,2010,March    ,OUT,27
LABOUR,2010,May      ,IN,66
LABOUR,2010,May      ,OUT,31
LABOUR,2010,November ,IN,78
LABOUR,2010,November ,OUT,23
LABOUR,2010,October  ,IN,179
LABOUR,2010,October  ,OUT,19
LABOUR,2010,September,IN,151
LABOUR,2010,September,OUT,30
OMANI,2010,April    ,IN,68
OMANI,2010,April    ,OUT,1
OMANI,2010,August   ,IN,73
OMANI,2010,August   ,OUT,10
OMANI,2010,December ,IN,19
OMANI,2010,December ,OUT,52
OMANI,2010,February ,IN,90
OMANI,2010,January  ,IN,94
OMANI,2010,January  ,OUT,3
OMANI,2010,July     ,IN,53
OMANI,2010,July     ,OUT,11
OMANI,2010,June     ,IN,37
OMANI,2010,June     ,OUT,3
OMANI,2010,March    ,IN,61
OMANI,2010,March    ,OUT,2
OMANI,2010,May      ,IN,27
OMANI,2010,May      ,OUT,3
OMANI,2010,November ,IN,24
OMANI,2010,November ,OUT,32
OMANI,2010,October  ,IN,92
OMANI,2010,October  ,OUT,21
OMANI,2010,September,IN,18
OMANI,2010,September,OUT,5
STAFF,2010,April    ,IN,3
STAFF,2010,April    ,OUT,2
STAFF,2010,August   ,IN,7
STAFF,2010,August   ,OUT,4
STAFF,2010,December ,IN,5
STAFF,2010,December ,OUT,6
STAFF,2010,February ,IN,12
STAFF,2010,February ,OUT,1
STAFF,2010,January  ,IN,17
STAFF,2010,January  ,OUT,99
STAFF,2010,July     ,IN,10
STAFF,2010,July     ,OUT,3
STAFF,2010,June     ,IN,3
STAFF,2010,June     ,OUT,2
STAFF,2010,March    ,IN,5
STAFF,2010,March    ,OUT,1
STAFF,2010,May      ,IN,5
STAFF,2010,May      ,OUT,5
STAFF,2010,November ,IN,2
STAFF,2010,November ,OUT,7
STAFF,2010,October  ,IN,6
STAFF,2010,October  ,OUT,8
STAFF,2010,September,IN,4
STAFF,2010,September,OUT,1
LABOUR,2011,April    ,IN,18
LABOUR,2011,April    ,OUT,29
LABOUR,2011,August   ,IN,60
LABOUR,2011,August   ,OUT,38
LABOUR,2011,December ,IN,203
LABOUR,2011,December ,OUT,108
LABOUR,2011,February ,IN,41
LABOUR,2011,February ,OUT,26
LABOUR,2011,January  ,IN,62
LABOUR,2011,January  ,OUT,30
LABOUR,2011,July     ,IN,50
LABOUR,2011,July     ,OUT,47
LABOUR,2011,June     ,IN,62
LABOUR,2011,June     ,OUT,31
LABOUR,2011,March    ,IN,35
LABOUR,2011,March    ,OUT,41
LABOUR,2011,May      ,IN,5
LABOUR,2011,May      ,OUT,14
LABOUR,2011,November ,IN,156
LABOUR,2011,November ,OUT,19
LABOUR,2011,October  ,IN,124
LABOUR,2011,October  ,OUT,36
LABOUR,2011,September,IN,30
LABOUR,2011,September,OUT,31
OMANI,2011,April    ,IN,39
OMANI,2011,April    ,OUT,48
OMANI,2011,August   ,IN,34
OMANI,2011,August   ,OUT,18
OMANI,2011,December ,IN,15
OMANI,2011,December ,OUT,31
OMANI,2011,February ,IN,28
OMANI,2011,February ,OUT,30
OMANI,2011,January  ,IN,30
OMANI,2011,January  ,OUT,51
OMANI,2011,July     ,IN,51
OMANI,2011,July     ,OUT,29
OMANI,2011,June     ,IN,36
OMANI,2011,June     ,OUT,25
OMANI,2011,March    ,IN,43
OMANI,2011,March    ,OUT,374
OMANI,2011,May      ,IN,56
OMANI,2011,May      ,OUT,28
OMANI,2011,November ,IN,24
OMANI,2011,November ,OUT,34
OMANI,2011,October  ,IN,29
OMANI,2011,October  ,OUT,47
OMANI,2011,September,IN,9
OMANI,2011,September,OUT,36
STAFF,2011,April    ,IN,5
STAFF,2011,April    ,OUT,1
STAFF,2011,August   ,IN,6
STAFF,2011,August   ,OUT,2
STAFF,2011,December ,IN,9
STAFF,2011,December ,OUT,8
STAFF,2011,February ,IN,9
STAFF,2011,February ,OUT,4
STAFF,2011,January  ,IN,7
STAFF,2011,January  ,OUT,5
STAFF,2011,July     ,IN,11
STAFF,2011,July     ,OUT,4
STAFF,2011,June     ,IN,11
STAFF,2011,June     ,OUT,4
STAFF,2011,March    ,IN,7
STAFF,2011,March    ,OUT,2
STAFF,2011,May      ,IN,24
STAFF,2011,May      ,OUT,10
STAFF,2011,November ,IN,15
STAFF,2011,November ,OUT,3
STAFF,2011,October  ,IN,17
STAFF,2011,October  ,OUT,10
STAFF,2011,September,IN,4
STAFF,2011,September,OUT,7
LABOUR,2012,April    ,IN,128
LABOUR,2012,April    ,OUT,97
LABOUR,2012,August   ,IN,122
LABOUR,2012,August   ,OUT,89
LABOUR,2012,December ,IN,109
LABOUR,2012,December ,OUT,96
LABOUR,2012,February ,IN,193
LABOUR,2012,February ,OUT,43
LABOUR,2012,January  ,IN,217
LABOUR,2012,January  ,OUT,66
LABOUR,2012,July     ,IN,129
LABOUR,2012,July     ,OUT,82
LABOUR,2012,June     ,IN,78
LABOUR,2012,June     ,OUT,56
LABOUR,2012,March    ,IN,146
LABOUR,2012,March    ,OUT,67
LABOUR,2012,May      ,IN,76
LABOUR,2012,May      ,OUT,91
LABOUR,2012,November ,IN,98
LABOUR,2012,November ,OUT,62
LABOUR,2012,October  ,IN,415
LABOUR,2012,October  ,OUT,99
LABOUR,2012,September,IN,212
LABOUR,2012,September,OUT,64
OMANI,2012,April    ,IN,91
OMANI,2012,April    ,OUT,24
OMANI,2012,August   ,IN,6
OMANI,2012,August   ,OUT,24
OMANI,2012,December ,IN,13
OMANI,2012,December ,OUT,18
OMANI,2012,February ,IN,45
OMANI,2012,February ,OUT,25
OMANI,2012,January  ,IN,35
OMANI,2012,January  ,OUT,38
OMANI,2012,July     ,IN,25
OMANI,2012,July     ,OUT,46
OMANI,2012,June     ,IN,71
OMANI,2012,June     ,OUT,28
OMANI,2012,March    ,IN,68
OMANI,2012,March    ,OUT,27
OMANI,2012,May      ,IN,59
OMANI,2012,May      ,OUT,33
OMANI,2012,November ,IN,3
OMANI,2012,November ,OUT,22
OMANI,2012,October  ,IN,1
OMANI,2012,October  ,OUT,26
OMANI,2012,September,IN,9
OMANI,2012,September,OUT,56
STAFF,2012,April    ,IN,4
STAFF,2012,April    ,OUT,6
STAFF,2012,August   ,IN,13
STAFF,2012,August   ,OUT,5
STAFF,2012,December ,IN,8
STAFF,2012,December ,OUT,8
STAFF,2012,February ,IN,5
STAFF,2012,February ,OUT,5
STAFF,2012,January  ,IN,7
STAFF,2012,January  ,OUT,14
STAFF,2012,July     ,IN,22
STAFF,2012,July     ,OUT,5
STAFF,2012,June     ,IN,32
STAFF,2012,June     ,OUT,5
STAFF,2012,March    ,IN,6
STAFF,2012,March    ,OUT,2
STAFF,2012,May      ,IN,15
STAFF,2012,May      ,OUT,5
STAFF,2012,November ,IN,6
STAFF,2012,November ,OUT,7
STAFF,2012,October  ,IN,10
STAFF,2012,October  ,OUT,12
STAFF,2012,September,IN,14
STAFF,2012,September,OUT,6
LABOUR,2013,April    ,IN,100
LABOUR,2013,April    ,OUT,42
LABOUR,2013,August   ,IN,49
LABOUR,2013,August   ,OUT,71
LABOUR,2013,December ,IN,289
LABOUR,2013,December ,OUT,141
LABOUR,2013,February ,IN,96
LABOUR,2013,February ,OUT,75
LABOUR,2013,January  ,IN,154
LABOUR,2013,January  ,OUT,64
LABOUR,2013,July     ,IN,20
LABOUR,2013,July     ,OUT,66
LABOUR,2013,June     ,IN,85
LABOUR,2013,June     ,OUT,81
LABOUR,2013,March    ,IN,107
LABOUR,2013,March    ,OUT,70
LABOUR,2013,May      ,IN,64
LABOUR,2013,May      ,OUT,51
LABOUR,2013,November ,IN,329
LABOUR,2013,November ,OUT,121
LABOUR,2013,October  ,IN,260
LABOUR,2013,October  ,OUT,84
LABOUR,2013,September,IN,258
LABOUR,2013,September,OUT,57
OMANI,2013,April    ,IN,64
OMANI,2013,April    ,OUT,22
OMANI,2013,August   ,IN,15
OMANI,2013,August   ,OUT,7
OMANI,2013,December ,IN,79
OMANI,2013,December ,OUT,23
OMANI,2013,February ,IN,8
OMANI,2013,February ,OUT,13
OMANI,2013,January  ,IN,11
OMANI,2013,January  ,OUT,25
OMANI,2013,July     ,IN,18
OMANI,2013,July     ,OUT,8
OMANI,2013,June     ,IN,37
OMANI,2013,June     ,OUT,21
OMANI,2013,March    ,IN,19
OMANI,2013,March    ,OUT,17
OMANI,2013,May      ,IN,62
OMANI,2013,May      ,OUT,14
OMANI,2013,November ,IN,23
OMANI,2013,November ,OUT,10
OMANI,2013,October  ,IN,18
OMANI,2013,October  ,OUT,10
OMANI,2013,September,IN,34
OMANI,2013,September,OUT,10
STAFF,2013,April    ,IN,11
STAFF,2013,April    ,OUT,3
STAFF,2013,August   ,IN,12
STAFF,2013,August   ,OUT,14
STAFF,2013,December ,IN,64
STAFF,2013,December ,OUT,6
STAFF,2013,February ,IN,6
STAFF,2013,February ,OUT,3
STAFF,2013,January  ,IN,20
STAFF,2013,January  ,OUT,7
STAFF,2013,July     ,IN,3
STAFF,2013,July     ,OUT,10
STAFF,2013,June     ,IN,13
STAFF,2013,June     ,OUT,10
STAFF,2013,March    ,IN,8
STAFF,2013,March    ,OUT,18
STAFF,2013,May      ,IN,14
STAFF,2013,May      ,OUT,5
STAFF,2013,November ,IN,74
STAFF,2013,November ,OUT,15
STAFF,2013,October  ,IN,55
STAFF,2013,October  ,OUT,8
STAFF,2013,September,IN,15
STAFF,2013,September,OUT,7
LABOUR,2014,April    ,IN,220
LABOUR,2014,April    ,OUT,85
LABOUR,2014,August   ,IN,133
LABOUR,2014,August   ,OUT,84
LABOUR,2014,December ,IN,135
LABOUR,2014,December ,OUT,121
LABOUR,2014,February ,IN,146
LABOUR,2014,February ,OUT,105
LABOUR,2014,January  ,IN,118
LABOUR,2014,January  ,OUT,140
LABOUR,2014,July     ,IN,132
LABOUR,2014,July     ,OUT,83
LABOUR,2014,June     ,IN,230
LABOUR,2014,June     ,OUT,50
LABOUR,2014,March    ,IN,447
LABOUR,2014,March    ,OUT,87
LABOUR,2014,May      ,IN,155
LABOUR,2014,May      ,OUT,92
LABOUR,2014,November ,IN,261
LABOUR,2014,November ,OUT,85
LABOUR,2014,October  ,IN,329
LABOUR,2014,October  ,OUT,141
LABOUR,2014,September,IN,479
LABOUR,2014,September,OUT,171
OMANI,2014,April    ,IN,56
OMANI,2014,April    ,OUT,36
OMANI,2014,August   ,IN,46
OMANI,2014,August   ,OUT,24
OMANI,2014,December ,IN,54
OMANI,2014,December ,OUT,83
OMANI,2014,February ,IN,124
OMANI,2014,February ,OUT,9
