Employee_Type,Employee_Category,Expiry_Year,Expiry_Month,Total_by_Month 
UNLIMITED,STAFF,2025,Feb,1
LIMITED,LABOUR,2025,Jan,5
UNLIMITED,LABOUR,2025,Jan,10
LIMITED,STAFF,2025,Jan,1
Permanent,STAFF,2025,Jan,1
UNLIMITED,STAFF,2025,Jan,2
Permanent,STAFF,2025,Jul,3
UNLIMITED,STAFF,2025,Jul,2
UNLIMITED,LABOUR,2025,Jun,3
Permanent,STAFF,2025,Jun,5
UNLIMITED,STAFF,2025,Jun,3
LIMITED,LABOUR,2025,Mar,4
Permanent,LABOUR,2025,Mar,2
UNLIMITED,LABOUR,2025,Mar,5
Permanent,STAFF,2025,Mar,1
UNLIMITED,STAFF,2025,Mar,6
UNLIMITED,LABOUR,2025,May,2
Permanent,STAFF,2025,May,1
UNLIMITED,STAFF,2025,May,1
UNLIMITED,LABOUR,2025,Nov,4
Permanent,STAFF,2025,Nov,5
LIMITED,LABOUR,2025,Oct,1
UNLIMITED,LABOUR,2025,Oct,2
LIMITED,STAFF,2025,Oct,1
Permanent,STAFF,2025,Oct,2
UNLIMITED,STAFF,2025,Oct,7
LIMITED,LABOUR,2025,Sep,1
Permanent,STAFF,2025,Sep,5
UNLIMITED,STAFF,2025,Sep,3
LIMITED,LABOUR,2026,Apr,1
UNLIMITED,LABOUR,2026,Apr,3
LIMITED,STAFF,2026,Aug,1
UNLIMITED,STAFF,2026,Aug,3
UNLIMITED,LABOUR,2026,Dec,1
LIMITED,LABOUR,2026,Feb,1
UNLIMITED,LABOUR,2026,Feb,5
Permanent,STAFF,2026,Feb,1
Permanent,STAFF,2026,Jan,2
UNLIMITED,STAFF,2026,Jan,1
UNLIMITED,LABOUR,2026,Jul,1
Permanent,STAFF,2026,Jul,1
UNLIMITED,STAFF,2026,Jul,2
UNLIMITED,LABOUR,2026,Jun,4
Permanent,STAFF,2026,Jun,1
UNLIMITED,STAFF,2026,Jun,1
LIMITED,LABOUR,2026,Mar,1
UNLIMITED,LABOUR,2026,Mar,2
Permanent,STAFF,2026,Mar,1
UNLIMITED,STAFF,2026,Mar,1
Permanent,LABOUR,2026,May,2
UNLIMITED,LABOUR,2026,May,1
Permanent,STAFF,2026,May,3
UNLIMITED,LABOUR,2026,Nov,2
Permanent,STAFF,2026,Nov,1
UNLIMITED,STAFF,2026,Nov,2
Permanent,STAFF,2026,Oct,2
UNLIMITED,STAFF,2026,Oct,1
LIMITED,LABOUR,2026,Sep,2
UNLIMITED,LABOUR,2026,Sep,1
Permanent,STAFF,2026,Sep,1
Permanent,STAFF,2027,Apr,5
Permanent,STAFF,2027,Feb,2
Permanent,STAFF,2027,Jan,1
Permanent,STAFF,2525,Oct,1
Permanent,LABOUR,9200,Nov,1
