COMPANY,EMPMAINCAT,NATIONALITY,YEAR,MONTH,MM,STRENGTH
ADRAK FACILITIES AND SERVICES LLC,LABOUR,INDIAN,2008,AUGUST   ,08,47
ADRAK FACILITIES AND SERVICES LLC,OMANI,OMANI,2008,AUGUST   ,08,2
ADRAK FACILITIES AND SERVICES LLC,STAFF,INDIAN,2008,AUGUST   ,08,18
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,LABOUR,BANGLADESH,2008,AUGUST   ,08,7
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,LABOUR,INDIAN,2008,AUGUST   ,08,1558
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,OMANI,OMANI,2008,AUGUST   ,08,59
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,STAFF,EGYPTION,2008,AUGUST   ,08,1
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,STAFF,INDIAN,2008,AUGUST   ,08,232
AL KHAITH INDUSTRIES AND SERVICES SPC,LABOUR,INDIAN,2008,AUGUST   ,08,51
AL KHAITH INDUSTRIES AND SERVICES SPC,OMANI,OMANI,2008,AUGUST   ,08,2
AL KHAITH INDUSTRIES AND SERVICES SPC,STAFF,INDIAN,2008,AUGUST   ,08,18
BOLD POINT CONSTRUCTION,LABOUR,INDIAN,2008,AUGUST   ,08,5
BOLD POINT CONSTRUCTION,STAFF,INDIAN,2008,AUGUST   ,08,2
HIGH-END BUSINESS SERVICES,STAFF,INDIAN,2008,AUGUST   ,08,1
INFORMATION TECHNOLOGY SOLUTIONS SPC,STAFF,INDIAN,2008,AUGUST   ,08,1
INSIGHT ENGINEERING CONSULTANTS,STAFF,INDIAN,2008,AUGUST   ,08,1
NEW ROTANA ENTERPRISES LLC,LABOUR,INDIAN,2008,AUGUST   ,08,95
NEW ROTANA ENTERPRISES LLC,STAFF,INDIAN,2008,AUGUST   ,08,33
SILVER OASIS BUSINESS AND SERVICES,LABOUR,INDIAN,2008,AUGUST   ,08,1
ADRAK FACILITIES AND SERVICES LLC,LABOUR,INDIAN,2008,SEPTEMBER,09,47
ADRAK FACILITIES AND SERVICES LLC,OMANI,OMANI,2008,SEPTEMBER,09,2
ADRAK FACILITIES AND SERVICES LLC,STAFF,INDIAN,2008,SEPTEMBER,09,18
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,LABOUR,BANGLADESH,2008,SEPTEMBER,09,7
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,LABOUR,INDIAN,2008,SEPTEMBER,09,1560
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,OMANI,OMANI,2008,SEPTEMBER,09,70
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,STAFF,EGYPTION,2008,SEPTEMBER,09,1
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,STAFF,INDIAN,2008,SEPTEMBER,09,233
AL KHAITH INDUSTRIES AND SERVICES SPC,LABOUR,INDIAN,2008,SEPTEMBER,09,51
AL KHAITH INDUSTRIES AND SERVICES SPC,OMANI,OMANI,2008,SEPTEMBER,09,2
AL KHAITH INDUSTRIES AND SERVICES SPC,STAFF,INDIAN,2008,SEPTEMBER,09,18
BOLD POINT CONSTRUCTION,LABOUR,INDIAN,2008,SEPTEMBER,09,5
BOLD POINT CONSTRUCTION,STAFF,INDIAN,2008,SEPTEMBER,09,2
HIGH-END BUSINESS SERVICES,STAFF,INDIAN,2008,SEPTEMBER,09,1
INFORMATION TECHNOLOGY SOLUTIONS SPC,STAFF,INDIAN,2008,SEPTEMBER,09,1
INSIGHT ENGINEERING CONSULTANTS,STAFF,INDIAN,2008,SEPTEMBER,09,1
NEW ROTANA ENTERPRISES LLC,LABOUR,INDIAN,2008,SEPTEMBER,09,98
NEW ROTANA ENTERPRISES LLC,STAFF,INDIAN,2008,SEPTEMBER,09,33
SILVER OASIS BUSINESS AND SERVICES,LABOUR,INDIAN,2008,SEPTEMBER,09,1
ADRAK FACILITIES AND SERVICES LLC,LABOUR,INDIAN,2008,OCTOBER  ,10,47
ADRAK FACILITIES AND SERVICES LLC,OMANI,OMANI,2008,OCTOBER  ,10,6
ADRAK FACILITIES AND SERVICES LLC,STAFF,INDIAN,2008,OCTOBER  ,10,18
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,LABOUR,BANGLADESH,2008,OCTOBER  ,10,7
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,LABOUR,INDIAN,2008,OCTOBER  ,10,1598
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,OMANI,OMANI,2008,OCTOBER  ,10,71
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,STAFF,EGYPTION,2008,OCTOBER  ,10,1
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,STAFF,INDIAN,2008,OCTOBER  ,10,241
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,STAFF,SUDANI,2008,OCTOBER  ,10,1
AL KHAITH INDUSTRIES AND SERVICES SPC,LABOUR,INDIAN,2008,OCTOBER  ,10,51
AL KHAITH INDUSTRIES AND SERVICES SPC,OMANI,OMANI,2008,OCTOBER  ,10,6
AL KHAITH INDUSTRIES AND SERVICES SPC,STAFF,INDIAN,2008,OCTOBER  ,10,18
BOLD POINT CONSTRUCTION,LABOUR,INDIAN,2008,OCTOBER  ,10,5
BOLD POINT CONSTRUCTION,STAFF,INDIAN,2008,OCTOBER  ,10,2
HIGH-END BUSINESS SERVICES,STAFF,INDIAN,2008,OCTOBER  ,10,1
INFORMATION TECHNOLOGY SOLUTIONS SPC,STAFF,INDIAN,2008,OCTOBER  ,10,1
INSIGHT ENGINEERING CONSULTANTS,STAFF,INDIAN,2008,OCTOBER  ,10,1
NEW ROTANA ENTERPRISES LLC,LABOUR,INDIAN,2008,OCTOBER  ,10,102
NEW ROTANA ENTERPRISES LLC,OMANI,OMANI,2008,OCTOBER  ,10,5
NEW ROTANA ENTERPRISES LLC,STAFF,INDIAN,2008,OCTOBER  ,10,35
SILVER OASIS BUSINESS AND SERVICES,LABOUR,INDIAN,2008,OCTOBER  ,10,1
ADRAK FACILITIES AND SERVICES LLC,LABOUR,INDIAN,2008,NOVEMBER ,11,47
ADRAK FACILITIES AND SERVICES LLC,OMANI,OMANI,2008,NOVEMBER ,11,7
ADRAK FACILITIES AND SERVICES LLC,STAFF,INDIAN,2008,NOVEMBER ,11,18
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,LABOUR,BANGLADESH,2008,NOVEMBER ,11,8
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,LABOUR,INDIAN,2008,NOVEMBER ,11,1649
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,OMANI,OMANI,2008,NOVEMBER ,11,81
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,STAFF,EGYPTION,2008,NOVEMBER ,11,1
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,STAFF,INDIAN,2008,NOVEMBER ,11,256
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,STAFF,SUDANI,2008,NOVEMBER ,11,1
AL KHAITH INDUSTRIES AND SERVICES SPC,LABOUR,INDIAN,2008,NOVEMBER ,11,51
AL KHAITH INDUSTRIES AND SERVICES SPC,OMANI,OMANI,2008,NOVEMBER ,11,7
AL KHAITH INDUSTRIES AND SERVICES SPC,STAFF,INDIAN,2008,NOVEMBER ,11,18
BOLD POINT CONSTRUCTION,LABOUR,INDIAN,2008,NOVEMBER ,11,5
BOLD POINT CONSTRUCTION,STAFF,INDIAN,2008,NOVEMBER ,11,2
HIGH-END BUSINESS SERVICES,STAFF,INDIAN,2008,NOVEMBER ,11,1
INFORMATION TECHNOLOGY SOLUTIONS SPC,STAFF,INDIAN,2008,NOVEMBER ,11,1
INSIGHT ENGINEERING CONSULTANTS,STAFF,INDIAN,2008,NOVEMBER ,11,1
NEW ROTANA ENTERPRISES LLC,LABOUR,INDIAN,2008,NOVEMBER ,11,104
NEW ROTANA ENTERPRISES LLC,OMANI,OMANI,2008,NOVEMBER ,11,9
NEW ROTANA ENTERPRISES LLC,STAFF,INDIAN,2008,NOVEMBER ,11,35
SILVER OASIS BUSINESS AND SERVICES,LABOUR,INDIAN,2008,NOVEMBER ,11,1
ADRAK FACILITIES AND SERVICES LLC,LABOUR,INDIAN,2008,DECEMBER ,12,47
ADRAK FACILITIES AND SERVICES LLC,OMANI,OMANI,2008,DECEMBER ,12,7
ADRAK FACILITIES AND SERVICES LLC,STAFF,INDIAN,2008,DECEMBER ,12,18
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,LABOUR,BANGLADESH,2008,DECEMBER ,12,10
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,LABOUR,INDIAN,2008,DECEMBER ,12,1700
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,OMANI,OMANI,2008,DECEMBER ,12,81
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,STAFF,EGYPTION,2008,DECEMBER ,12,1
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,STAFF,INDIAN,2008,DECEMBER ,12,259
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,STAFF,SUDANI,2008,DECEMBER ,12,1
AL KHAITH INDUSTRIES AND SERVICES SPC,LABOUR,INDIAN,2008,DECEMBER ,12,51
AL KHAITH INDUSTRIES AND SERVICES SPC,OMANI,OMANI,2008,DECEMBER ,12,7
AL KHAITH INDUSTRIES AND SERVICES SPC,STAFF,INDIAN,2008,DECEMBER ,12,18
BOLD POINT CONSTRUCTION,LABOUR,INDIAN,2008,DECEMBER ,12,5
BOLD POINT CONSTRUCTION,STAFF,INDIAN,2008,DECEMBER ,12,2
HIGH-END BUSINESS SERVICES,STAFF,INDIAN,2008,DECEMBER ,12,1
INFORMATION TECHNOLOGY SOLUTIONS SPC,STAFF,INDIAN,2008,DECEMBER ,12,1
INSIGHT ENGINEERING CONSULTANTS,STAFF,INDIAN,2008,DECEMBER ,12,1
NEW ROTANA ENTERPRISES LLC,LABOUR,INDIAN,2008,DECEMBER ,12,105
NEW ROTANA ENTERPRISES LLC,OMANI,OMANI,2008,DECEMBER ,12,10
NEW ROTANA ENTERPRISES LLC,STAFF,INDIAN,2008,DECEMBER ,12,35
SILVER OASIS BUSINESS AND SERVICES,LABOUR,INDIAN,2008,DECEMBER ,12,1
ADRAK FACILITIES AND SERVICES LLC,LABOUR,INDIAN,2009,JANUARY  ,01,47
ADRAK FACILITIES AND SERVICES LLC,OMANI,OMANI,2009,JANUARY  ,01,7
ADRAK FACILITIES AND SERVICES LLC,STAFF,INDIAN,2009,JANUARY  ,01,18
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,LABOUR,BANGLADESH,2009,JANUARY  ,01,10
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,LABOUR,INDIAN,2009,JANUARY  ,01,1731
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,OMANI,OMANI,2009,JANUARY  ,01,86
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,STAFF,EGYPTION,2009,JANUARY  ,01,1
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,STAFF,INDIAN,2009,JANUARY  ,01,263
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,STAFF,SUDANI,2009,JANUARY  ,01,1
AL KHAITH INDUSTRIES AND SERVICES SPC,LABOUR,INDIAN,2009,JANUARY  ,01,51
AL KHAITH INDUSTRIES AND SERVICES SPC,OMANI,OMANI,2009,JANUARY  ,01,7
AL KHAITH INDUSTRIES AND SERVICES SPC,STAFF,INDIAN,2009,JANUARY  ,01,18
BOLD POINT CONSTRUCTION,LABOUR,INDIAN,2009,JANUARY  ,01,5
BOLD POINT CONSTRUCTION,STAFF,INDIAN,2009,JANUARY  ,01,2
HIGH-END BUSINESS SERVICES,STAFF,INDIAN,2009,JANUARY  ,01,2
INFORMATION TECHNOLOGY SOLUTIONS SPC,STAFF,INDIAN,2009,JANUARY  ,01,1
INSIGHT ENGINEERING CONSULTANTS,STAFF,INDIAN,2009,JANUARY  ,01,1
NEW ROTANA ENTERPRISES LLC,LABOUR,INDIAN,2009,JANUARY  ,01,108
NEW ROTANA ENTERPRISES LLC,OMANI,OMANI,2009,JANUARY  ,01,10
NEW ROTANA ENTERPRISES LLC,STAFF,INDIAN,2009,JANUARY  ,01,38
SILVER OASIS BUSINESS AND SERVICES,LABOUR,INDIAN,2009,JANUARY  ,01,2
ADRAK FACILITIES AND SERVICES LLC,LABOUR,INDIAN,2009,FEBRUARY ,02,47
ADRAK FACILITIES AND SERVICES LLC,OMANI,OMANI,2009,FEBRUARY ,02,7
ADRAK FACILITIES AND SERVICES LLC,STAFF,INDIAN,2009,FEBRUARY ,02,18
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,LABOUR,BANGLADESH,2009,FEBRUARY ,02,10
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,LABOUR,INDIAN,2009,FEBRUARY ,02,1751
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,OMANI,OMANI,2009,FEBRUARY ,02,90
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,STAFF,EGYPTION,2009,FEBRUARY ,02,1
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,STAFF,INDIAN,2009,FEBRUARY ,02,265
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,STAFF,SUDANI,2009,FEBRUARY ,02,1
AL KHAITH INDUSTRIES AND SERVICES SPC,LABOUR,INDIAN,2009,FEBRUARY ,02,51
AL KHAITH INDUSTRIES AND SERVICES SPC,OMANI,OMANI,2009,FEBRUARY ,02,7
AL KHAITH INDUSTRIES AND SERVICES SPC,STAFF,INDIAN,2009,FEBRUARY ,02,18
BOLD POINT CONSTRUCTION,LABOUR,INDIAN,2009,FEBRUARY ,02,5
BOLD POINT CONSTRUCTION,STAFF,INDIAN,2009,FEBRUARY ,02,2
HIGH-END BUSINESS SERVICES,STAFF,INDIAN,2009,FEBRUARY ,02,2
INFORMATION TECHNOLOGY SOLUTIONS SPC,STAFF,INDIAN,2009,FEBRUARY ,02,1
INSIGHT ENGINEERING CONSULTANTS,STAFF,INDIAN,2009,FEBRUARY ,02,1
NEW ROTANA ENTERPRISES LLC,LABOUR,INDIAN,2009,FEBRUARY ,02,110
NEW ROTANA ENTERPRISES LLC,OMANI,OMANI,2009,FEBRUARY ,02,10
NEW ROTANA ENTERPRISES LLC,STAFF,INDIAN,2009,FEBRUARY ,02,41
SILVER OASIS BUSINESS AND SERVICES,LABOUR,INDIAN,2009,FEBRUARY ,02,2
ADRAK FACILITIES AND SERVICES LLC,LABOUR,INDIAN,2009,MARCH    ,03,47
ADRAK FACILITIES AND SERVICES LLC,OMANI,OMANI,2009,MARCH    ,03,7
ADRAK FACILITIES AND SERVICES LLC,STAFF,INDIAN,2009,MARCH    ,03,18
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,LABOUR,BANGLADESH,2009,MARCH    ,03,10
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,LABOUR,INDIAN,2009,MARCH    ,03,1774
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,OMANI,OMANI,2009,MARCH    ,03,93
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,STAFF,EGYPTION,2009,MARCH    ,03,1
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,STAFF,INDIAN,2009,MARCH    ,03,267
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,STAFF,SUDANI,2009,MARCH    ,03,1
AL KHAITH INDUSTRIES AND SERVICES SPC,LABOUR,INDIAN,2009,MARCH    ,03,51
AL KHAITH INDUSTRIES AND SERVICES SPC,OMANI,OMANI,2009,MARCH    ,03,7
AL KHAITH INDUSTRIES AND SERVICES SPC,STAFF,INDIAN,2009,MARCH    ,03,18
BOLD POINT CONSTRUCTION,LABOUR,INDIAN,2009,MARCH    ,03,5
BOLD POINT CONSTRUCTION,STAFF,INDIAN,2009,MARCH    ,03,2
HIGH-END BUSINESS SERVICES,STAFF,INDIAN,2009,MARCH    ,03,2
INFORMATION TECHNOLOGY SOLUTIONS SPC,STAFF,INDIAN,2009,MARCH    ,03,1
INSIGHT ENGINEERING CONSULTANTS,STAFF,INDIAN,2009,MARCH    ,03,1
NEW ROTANA ENTERPRISES LLC,LABOUR,INDIAN,2009,MARCH    ,03,110
NEW ROTANA ENTERPRISES LLC,OMANI,OMANI,2009,MARCH    ,03,10
NEW ROTANA ENTERPRISES LLC,STAFF,INDIAN,2009,MARCH    ,03,42
SILVER OASIS BUSINESS AND SERVICES,LABOUR,INDIAN,2009,MARCH    ,03,2
ADRAK FACILITIES AND SERVICES LLC,LABOUR,INDIAN,2009,APRIL    ,04,47
ADRAK FACILITIES AND SERVICES LLC,OMANI,OMANI,2009,APRIL    ,04,7
ADRAK FACILITIES AND SERVICES LLC,STAFF,INDIAN,2009,APRIL    ,04,18
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,LABOUR,BANGLADESH,2009,APRIL    ,04,10
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,LABOUR,INDIAN,2009,APRIL    ,04,1786
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,OMANI,OMANI,2009,APRIL    ,04,98
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,STAFF,EGYPTION,2009,APRIL    ,04,1
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,STAFF,INDIAN,2009,APRIL    ,04,269
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,STAFF,SUDANI,2009,APRIL    ,04,1
AL KHAITH INDUSTRIES AND SERVICES SPC,LABOUR,INDIAN,2009,APRIL    ,04,51
AL KHAITH INDUSTRIES AND SERVICES SPC,OMANI,OMANI,2009,APRIL    ,04,7
AL KHAITH INDUSTRIES AND SERVICES SPC,STAFF,INDIAN,2009,APRIL    ,04,18
BOLD POINT CONSTRUCTION,LABOUR,INDIAN,2009,APRIL    ,04,5
BOLD POINT CONSTRUCTION,STAFF,INDIAN,2009,APRIL    ,04,2
HIGH-END BUSINESS SERVICES,STAFF,INDIAN,2009,APRIL    ,04,2
INFORMATION TECHNOLOGY SOLUTIONS SPC,STAFF,INDIAN,2009,APRIL    ,04,1
INSIGHT ENGINEERING CONSULTANTS,STAFF,INDIAN,2009,APRIL    ,04,1
NEW ROTANA ENTERPRISES LLC,LABOUR,INDIAN,2009,APRIL    ,04,109
NEW ROTANA ENTERPRISES LLC,OMANI,OMANI,2009,APRIL    ,04,10
NEW ROTANA ENTERPRISES LLC,STAFF,INDIAN,2009,APRIL    ,04,42
SILVER OASIS BUSINESS AND SERVICES,LABOUR,INDIAN,2009,APRIL    ,04,2
ADRAK FACILITIES AND SERVICES LLC,LABOUR,INDIAN,2009,MAY      ,05,47
ADRAK FACILITIES AND SERVICES LLC,OMANI,OMANI,2009,MAY      ,05,7
ADRAK FACILITIES AND SERVICES LLC,STAFF,INDIAN,2009,MAY      ,05,18
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,LABOUR,BANGLADESH,2009,MAY      ,05,10
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,LABOUR,INDIAN,2009,MAY      ,05,1796
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,OMANI,OMANI,2009,MAY      ,05,107
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,STAFF,EGYPTION,2009,MAY      ,05,1
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,STAFF,INDIAN,2009,MAY      ,05,271
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,STAFF,SUDANI,2009,MAY      ,05,1
AL KHAITH INDUSTRIES AND SERVICES SPC,LABOUR,INDIAN,2009,MAY      ,05,51
AL KHAITH INDUSTRIES AND SERVICES SPC,OMANI,OMANI,2009,MAY      ,05,7
AL KHAITH INDUSTRIES AND SERVICES SPC,STAFF,INDIAN,2009,MAY      ,05,18
BOLD POINT CONSTRUCTION,LABOUR,INDIAN,2009,MAY      ,05,5
BOLD POINT CONSTRUCTION,STAFF,INDIAN,2009,MAY      ,05,2
HIGH-END BUSINESS SERVICES,STAFF,INDIAN,2009,MAY      ,05,2
INFORMATION TECHNOLOGY SOLUTIONS SPC,STAFF,INDIAN,2009,MAY      ,05,1
INSIGHT ENGINEERING CONSULTANTS,STAFF,INDIAN,2009,MAY      ,05,1
NEW ROTANA ENTERPRISES LLC,LABOUR,INDIAN,2009,MAY      ,05,110
NEW ROTANA ENTERPRISES LLC,OMANI,OMANI,2009,MAY      ,05,12
NEW ROTANA ENTERPRISES LLC,STAFF,INDIAN,2009,MAY      ,05,42
SILVER OASIS BUSINESS AND SERVICES,LABOUR,INDIAN,2009,MAY      ,05,2
ADRAK FACILITIES AND SERVICES LLC,LABOUR,INDIAN,2009,JUNE     ,06,46
ADRAK FACILITIES AND SERVICES LLC,OMANI,OMANI,2009,JUNE     ,06,7
ADRAK FACILITIES AND SERVICES LLC,STAFF,INDIAN,2009,JUNE     ,06,18
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,LABOUR,BANGLADESH,2009,JUNE     ,06,10
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,LABOUR,INDIAN,2009,JUNE     ,06,1808
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,OMANI,OMANI,2009,JUNE     ,06,110
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,STAFF,EGYPTION,2009,JUNE     ,06,1
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,STAFF,INDIAN,2009,JUNE     ,06,270
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,STAFF,SUDANI,2009,JUNE     ,06,1
AL KHAITH INDUSTRIES AND SERVICES SPC,LABOUR,INDIAN,2009,JUNE     ,06,50
AL KHAITH INDUSTRIES AND SERVICES SPC,OMANI,OMANI,2009,JUNE     ,06,7
AL KHAITH INDUSTRIES AND SERVICES SPC,STAFF,INDIAN,2009,JUNE     ,06,18
BOLD POINT CONSTRUCTION,LABOUR,INDIAN,2009,JUNE     ,06,5
BOLD POINT CONSTRUCTION,STAFF,INDIAN,2009,JUNE     ,06,2
HIGH-END BUSINESS SERVICES,STAFF,INDIAN,2009,JUNE     ,06,2
INFORMATION TECHNOLOGY SOLUTIONS SPC,STAFF,INDIAN,2009,JUNE     ,06,1
INSIGHT ENGINEERING CONSULTANTS,STAFF,INDIAN,2009,JUNE     ,06,1
NEW ROTANA ENTERPRISES LLC,LABOUR,INDIAN,2009,JUNE     ,06,109
NEW ROTANA ENTERPRISES LLC,OMANI,OMANI,2009,JUNE     ,06,13
NEW ROTANA ENTERPRISES LLC,STAFF,INDIAN,2009,JUNE     ,06,42
SILVER OASIS BUSINESS AND SERVICES,LABOUR,INDIAN,2009,JUNE     ,06,2
ADRAK FACILITIES AND SERVICES LLC,LABOUR,INDIAN,2009,JULY     ,07,46
ADRAK FACILITIES AND SERVICES LLC,OMANI,OMANI,2009,JULY     ,07,8
ADRAK FACILITIES AND SERVICES LLC,STAFF,INDIAN,2009,JULY     ,07,18
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,LABOUR,BANGLADESH,2009,JULY     ,07,10
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,LABOUR,INDIAN,2009,JULY     ,07,1819
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,OMANI,OMANI,2009,JULY     ,07,115
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,STAFF,EGYPTION,2009,JULY     ,07,1
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,STAFF,INDIAN,2009,JULY     ,07,274
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,STAFF,SUDANI,2009,JULY     ,07,1
AL KHAITH INDUSTRIES AND SERVICES SPC,LABOUR,INDIAN,2009,JULY     ,07,50
AL KHAITH INDUSTRIES AND SERVICES SPC,OMANI,OMANI,2009,JULY     ,07,8
AL KHAITH INDUSTRIES AND SERVICES SPC,STAFF,INDIAN,2009,JULY     ,07,18
BOLD POINT CONSTRUCTION,LABOUR,INDIAN,2009,JULY     ,07,5
BOLD POINT CONSTRUCTION,STAFF,INDIAN,2009,JULY     ,07,2
HIGH-END BUSINESS SERVICES,STAFF,INDIAN,2009,JULY     ,07,2
INFORMATION TECHNOLOGY SOLUTIONS SPC,STAFF,INDIAN,2009,JULY     ,07,1
INSIGHT ENGINEERING CONSULTANTS,STAFF,INDIAN,2009,JULY     ,07,1
NEW ROTANA ENTERPRISES LLC,LABOUR,INDIAN,2009,JULY     ,07,109
NEW ROTANA ENTERPRISES LLC,OMANI,OMANI,2009,JULY     ,07,14
NEW ROTANA ENTERPRISES LLC,STAFF,INDIAN,2009,JULY     ,07,42
SILVER OASIS BUSINESS AND SERVICES,LABOUR,INDIAN,2009,JULY     ,07,2
ADRAK FACILITIES AND SERVICES LLC,LABOUR,INDIAN,2009,AUGUST   ,08,45
ADRAK FACILITIES AND SERVICES LLC,OMANI,OMANI,2009,AUGUST   ,08,8
ADRAK FACILITIES AND SERVICES LLC,STAFF,INDIAN,2009,AUGUST   ,08,18
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,LABOUR,BANGLADESH,2009,AUGUST   ,08,10
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,LABOUR,INDIAN,2009,AUGUST   ,08,1823
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,OMANI,OMANI,2009,AUGUST   ,08,123
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,STAFF,EGYPTION,2009,AUGUST   ,08,1
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,STAFF,INDIAN,2009,AUGUST   ,08,277
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,STAFF,SUDANI,2009,AUGUST   ,08,1
AL KHAITH INDUSTRIES AND SERVICES SPC,LABOUR,INDIAN,2009,AUGUST   ,08,49
AL KHAITH INDUSTRIES AND SERVICES SPC,OMANI,OMANI,2009,AUGUST   ,08,8
AL KHAITH INDUSTRIES AND SERVICES SPC,STAFF,INDIAN,2009,AUGUST   ,08,18
BOLD POINT CONSTRUCTION,LABOUR,INDIAN,2009,AUGUST   ,08,5
BOLD POINT CONSTRUCTION,STAFF,INDIAN,2009,AUGUST   ,08,2
HIGH-END BUSINESS SERVICES,STAFF,INDIAN,2009,AUGUST   ,08,2
INFORMATION TECHNOLOGY SOLUTIONS SPC,STAFF,INDIAN,2009,AUGUST   ,08,1
INSIGHT ENGINEERING CONSULTANTS,STAFF,INDIAN,2009,AUGUST   ,08,1
NEW ROTANA ENTERPRISES LLC,LABOUR,INDIAN,2009,AUGUST   ,08,108
NEW ROTANA ENTERPRISES LLC,OMANI,OMANI,2009,AUGUST   ,08,14
NEW ROTANA ENTERPRISES LLC,STAFF,INDIAN,2009,AUGUST   ,08,42
SILVER OASIS BUSINESS AND SERVICES,LABOUR,INDIAN,2009,AUGUST   ,08,2
ADRAK FACILITIES AND SERVICES LLC,LABOUR,INDIAN,2009,SEPTEMBER,09,45
ADRAK FACILITIES AND SERVICES LLC,OMANI,OMANI,2009,SEPTEMBER,09,8
ADRAK FACILITIES AND SERVICES LLC,STAFF,INDIAN,2009,SEPTEMBER,09,18
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,LABOUR,BANGLADESH,2009,SEPTEMBER,09,10
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,LABOUR,INDIAN,2009,SEPTEMBER,09,1809
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,OMANI,OMANI,2009,SEPTEMBER,09,134
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,STAFF,EGYPTION,2009,SEPTEMBER,09,1
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,STAFF,INDIAN,2009,SEPTEMBER,09,282
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,STAFF,SUDANI,2009,SEPTEMBER,09,1
