Month,Year,Department,Total_Count,Nationality
Jun,2013,ADMINISTRATION,1,Expat,
Jun,2013,ADMINISTRATION & GENERAL,2,Omani,
Jun,2013,LOGISTICS,3,Omani,
Jun,2013,Labour,7,Expat,
Jun,2013,OPERATIONS,1,Expat,
Jul,2013,Labour,2,Expat,
Aug,2013,CIVIL,1,Expat,
Aug,2013,Labour,3,Expat,
Aug,2013,MAS,1,Expat,
Sep,2013,ADMINISTRATION & GENERAL,1,Omani,
Sep,2013,CWS,1,Expat,
Sep,2013,HSEQ,1,Expat,
Sep,2013,LOGISTICS,1,Omani,
Sep,2013,Labour,7,Expat,
Sep,2013,SITE,16,Expat,
Sep,2013,SITE,1,Omani,
Sep,2013,"TRAINING, WELFARE & DEVELOPMENT",1,Expat,
Oct,2013,ADMINISTRATION & GENERAL,1,Omani,
Oct,2013,CIVIL,1,Expat,
Oct,2013,LOGISTICS,1,Expat,
Oct,2013,Labour,9,Expat,
Oct,2013,MECHANICAL WORKSHOP,1,Expat,
Oct,2013,SITE,5,Expat,
Oct,2013,TRANSPORT,2,Expat,
Nov,2013,ADMINISTRATION & GENERAL,3,Omani,
Nov,2013,CAMP,1,Expat,
Nov,2013,CIVIL,3,Expat,
Nov,2013,CWS,1,Expat,
Nov,2013,FMT,1,Expat,
Nov,2013,Labour,20,Expat,
Nov,2013,PROJECTS,1,Expat,
Nov,2013,TRANSPORT,2,Expat,
Dec,2013,ADMINISTRATION,1,Omani,
Dec,2013,ADMINISTRATION & GENERAL,1,Omani,
Dec,2013,CIVIL,2,Expat,
Dec,2013,CWS,1,Expat,
Dec,2013,LOGISTICS,1,Expat,
Dec,2013,Labour,23,Expat,
