COMPANY,NATIONALITY,YEAR,MONTH,MM,STRENGTH
THOMAS ALEXANDER,PHILIPPINE,2015,SEPTEMBER,09,1
ADRAK FACILITIES AND SERVICES LLC,INDIAN,2015,OCTOBER  ,10,25
ADRAK FACILITIES AND SERVICES LLC,OMANI,2015,OCTOBER  ,10,2
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,BANGLADESH,2015,OCTOBER  ,10,2
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,BANGLADESH,2015,OCTOBER  ,10,"2,398"
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,INDIAN,2015,OCTOBER  ,10,"5,481"
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,NEPAL,2015,OCTOBER  ,10,22
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,OMANI,2015,OCTOBER  ,10,763
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,PAKISTAN,2015,OCTOBER  ,10,5
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,SRILENKAN,2015,OCTOBER  ,10,5
AL KHAITH INDUSTRIES AND SERVICES SPC,INDIAN,2015,OCTOBER  ,10,10
AL RASD CONSTRUCTION SPC,BANGLADESH,2015,OCTOBER  ,10,2
APEX ACCOUNTANCY CONSULTANTS AND SERVICES,INDIAN,2015,OCTOBER  ,10,2
BOLD POINT CONSTRUCTION,BANGLADESH,2015,OCTOBER  ,10,2
BOLD POINT CONSTRUCTION,INDIAN,2015,OCTOBER  ,10,11
HIGH-END BUSINESS SERVICES,INDIAN,2015,OCTOBER  ,10,2
INFORMATION TECHNOLOGY SOLUTIONS SPC,BANGLADESH,2015,OCTOBER  ,10,2
INFORMATION TECHNOLOGY SOLUTIONS SPC,INDIAN,2015,OCTOBER  ,10,5
INSIGHT ENGINEERING CONSULTANTS,INDIAN,2015,OCTOBER  ,10,12
INSIGHT ENGINEERING CONSULTANTS,OMANI,2015,OCTOBER  ,10,3
KHALIL ABDULLAH YUSEF AL BALUSHI TRADING LLC,BANGLADESH,2015,OCTOBER  ,10,7
KHALIL ABDULLAH YUSEF AL BALUSHI TRADING LLC,INDIAN,2015,OCTOBER  ,10,10
NEW ROTANA ENTERPRISES LLC,INDIAN,2015,OCTOBER  ,10,45
NEW ROTANA ENTERPRISES LLC,OMANI,2015,OCTOBER  ,10,10
SILVER OASIS BUSINESS AND SERVICES,BANGLADESH,2015,OCTOBER  ,10,8
SILVER OASIS BUSINESS AND SERVICES,INDIAN,2015,OCTOBER  ,10,15
THANVEER CONCRETE AND STONE PRODUCTS SPC,INDIAN,2015,OCTOBER  ,10,1
THOMAS ALEXANDER,PHILIPPINE,2015,OCTOBER  ,10,1
ADRAK FACILITIES AND SERVICES LLC,INDIAN,2015,NOVEMBER ,11,25
ADRAK FACILITIES AND SERVICES LLC,OMANI,2015,NOVEMBER ,11,2
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,BANGLADESH,2015,NOVEMBER ,11,2
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,BANGLADESH,2015,NOVEMBER ,11,"2,673"
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,INDIAN,2015,NOVEMBER ,11,"5,408"
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,NEPAL,2015,NOVEMBER ,11,18
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,OMANI,2015,NOVEMBER ,11,716
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,PAKISTAN,2015,NOVEMBER ,11,5
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,SRILENKAN,2015,NOVEMBER ,11,4
AL KHAITH INDUSTRIES AND SERVICES SPC,INDIAN,2015,NOVEMBER ,11,10
AL RASD CONSTRUCTION SPC,BANGLADESH,2015,NOVEMBER ,11,2
APEX ACCOUNTANCY CONSULTANTS AND SERVICES,INDIAN,2015,NOVEMBER ,11,2
BOLD POINT CONSTRUCTION,BANGLADESH,2015,NOVEMBER ,11,2
BOLD POINT CONSTRUCTION,INDIAN,2015,NOVEMBER ,11,11
HIGH-END BUSINESS SERVICES,INDIAN,2015,NOVEMBER ,11,2
INFORMATION TECHNOLOGY SOLUTIONS SPC,BANGLADESH,2015,NOVEMBER ,11,2
INFORMATION TECHNOLOGY SOLUTIONS SPC,INDIAN,2015,NOVEMBER ,11,5
INSIGHT ENGINEERING CONSULTANTS,INDIAN,2015,NOVEMBER ,11,13
INSIGHT ENGINEERING CONSULTANTS,OMANI,2015,NOVEMBER ,11,3
KHALIL ABDULLAH YUSEF AL BALUSHI TRADING LLC,BANGLADESH,2015,NOVEMBER ,11,7
KHALIL ABDULLAH YUSEF AL BALUSHI TRADING LLC,INDIAN,2015,NOVEMBER ,11,10
NEW ROTANA ENTERPRISES LLC,INDIAN,2015,NOVEMBER ,11,45
NEW ROTANA ENTERPRISES LLC,OMANI,2015,NOVEMBER ,11,8
SILVER OASIS BUSINESS AND SERVICES,BANGLADESH,2015,NOVEMBER ,11,8
SILVER OASIS BUSINESS AND SERVICES,INDIAN,2015,NOVEMBER ,11,15
THANVEER CONCRETE AND STONE PRODUCTS SPC,INDIAN,2015,NOVEMBER ,11,1
THOMAS ALEXANDER,PHILIPPINE,2015,NOVEMBER ,11,1
ADRAK FACILITIES AND SERVICES LLC,INDIAN,2015,DECEMBER ,12,24
ADRAK FACILITIES AND SERVICES LLC,OMANI,2015,DECEMBER ,12,2
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,BANGLADESH,2015,DECEMBER ,12,2
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,BANGLADESH,2015,DECEMBER ,12,"3,030"
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,INDIAN,2015,DECEMBER ,12,"5,315"
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,NEPAL,2015,DECEMBER ,12,16
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,OMANI,2015,DECEMBER ,12,700
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,PAKISTAN,2015,DECEMBER ,12,5
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,SRILENKAN,2015,DECEMBER ,12,4
AL KHAITH INDUSTRIES AND SERVICES SPC,INDIAN,2015,DECEMBER ,12,10
AL RASD CONSTRUCTION SPC,BANGLADESH,2015,DECEMBER ,12,2
APEX ACCOUNTANCY CONSULTANTS AND SERVICES,INDIAN,2015,DECEMBER ,12,2
BOLD POINT CONSTRUCTION,BANGLADESH,2015,DECEMBER ,12,3
BOLD POINT CONSTRUCTION,INDIAN,2015,DECEMBER ,12,11
HIGH-END BUSINESS SERVICES,INDIAN,2015,DECEMBER ,12,2
INFORMATION TECHNOLOGY SOLUTIONS SPC,BANGLADESH,2015,DECEMBER ,12,2
INFORMATION TECHNOLOGY SOLUTIONS SPC,INDIAN,2015,DECEMBER ,12,7
INSIGHT ENGINEERING CONSULTANTS,INDIAN,2015,DECEMBER ,12,13
INSIGHT ENGINEERING CONSULTANTS,OMANI,2015,DECEMBER ,12,3
KHALIL ABDULLAH YUSEF AL BALUSHI TRADING LLC,BANGLADESH,2015,DECEMBER ,12,8
KHALIL ABDULLAH YUSEF AL BALUSHI TRADING LLC,INDIAN,2015,DECEMBER ,12,10
NEW ROTANA ENTERPRISES LLC,INDIAN,2015,DECEMBER ,12,45
NEW ROTANA ENTERPRISES LLC,OMANI,2015,DECEMBER ,12,8
SILVER OASIS BUSINESS AND SERVICES,BANGLADESH,2015,DECEMBER ,12,8
SILVER OASIS BUSINESS AND SERVICES,INDIAN,2015,DECEMBER ,12,17
THANVEER CONCRETE AND STONE PRODUCTS SPC,INDIAN,2015,DECEMBER ,12,1
THOMAS ALEXANDER,PHILIPPINE,2015,DECEMBER ,12,1
ADRAK FACILITIES AND SERVICES LLC,INDIAN,2016,JANUARY  ,01,24
ADRAK FACILITIES AND SERVICES LLC,OMANI,2016,JANUARY  ,01,2
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,BANGLADESH,2016,JANUARY  ,01,3
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,BANGLADESH,2016,JANUARY  ,01,"3,233"
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,INDIAN,2016,JANUARY  ,01,"5,213"
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,NEPAL,2016,JANUARY  ,01,16
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,OMANI,2016,JANUARY  ,01,649
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,PAKISTAN,2016,JANUARY  ,01,5
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,SRILENKAN,2016,JANUARY  ,01,2
AL KHAITH INDUSTRIES AND SERVICES SPC,INDIAN,2016,JANUARY  ,01,10
AL RASD CONSTRUCTION SPC,BANGLADESH,2016,JANUARY  ,01,2
APEX ACCOUNTANCY CONSULTANTS AND SERVICES,INDIAN,2016,JANUARY  ,01,2
BOLD POINT CONSTRUCTION,BANGLADESH,2016,JANUARY  ,01,4
BOLD POINT CONSTRUCTION,INDIAN,2016,JANUARY  ,01,11
HIGH-END BUSINESS SERVICES,INDIAN,2016,JANUARY  ,01,2
INFORMATION TECHNOLOGY SOLUTIONS SPC,BANGLADESH,2016,JANUARY  ,01,2
INFORMATION TECHNOLOGY SOLUTIONS SPC,INDIAN,2016,JANUARY  ,01,7
INSIGHT ENGINEERING CONSULTANTS,INDIAN,2016,JANUARY  ,01,13
INSIGHT ENGINEERING CONSULTANTS,OMANI,2016,JANUARY  ,01,3
KHALIL ABDULLAH YUSEF AL BALUSHI TRADING LLC,BANGLADESH,2016,JANUARY  ,01,8
KHALIL ABDULLAH YUSEF AL BALUSHI TRADING LLC,INDIAN,2016,JANUARY  ,01,10
NEW ROTANA ENTERPRISES LLC,INDIAN,2016,JANUARY  ,01,44
NEW ROTANA ENTERPRISES LLC,OMANI,2016,JANUARY  ,01,8
SILVER OASIS BUSINESS AND SERVICES,BANGLADESH,2016,JANUARY  ,01,8
SILVER OASIS BUSINESS AND SERVICES,INDIAN,2016,JANUARY  ,01,17
THANVEER CONCRETE AND STONE PRODUCTS SPC,INDIAN,2016,JANUARY  ,01,1
THOMAS ALEXANDER,PHILIPPINE,2016,JANUARY  ,01,1
ADRAK FACILITIES AND SERVICES LLC,INDIAN,2016,FEBRUARY ,02,25
ADRAK FACILITIES AND SERVICES LLC,OMANI,2016,FEBRUARY ,02,1
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,BANGLADESH,2016,FEBRUARY ,02,3
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,BANGLADESH,2016,FEBRUARY ,02,"3,256"
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,INDIAN,2016,FEBRUARY ,02,"5,050"
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,NEPAL,2016,FEBRUARY ,02,24
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,OMANI,2016,FEBRUARY ,02,640
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,PAKISTAN,2016,FEBRUARY ,02,5
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,SRILENKAN,2016,FEBRUARY ,02,2
AL KHAITH INDUSTRIES AND SERVICES SPC,INDIAN,2016,FEBRUARY ,02,10
AL RASD CONSTRUCTION SPC,BANGLADESH,2016,FEBRUARY ,02,2
APEX ACCOUNTANCY CONSULTANTS AND SERVICES,INDIAN,2016,FEBRUARY ,02,2
BOLD POINT CONSTRUCTION,BANGLADESH,2016,FEBRUARY ,02,4
BOLD POINT CONSTRUCTION,INDIAN,2016,FEBRUARY ,02,11
HIGH-END BUSINESS SERVICES,INDIAN,2016,FEBRUARY ,02,2
INFORMATION TECHNOLOGY SOLUTIONS SPC,BANGLADESH,2016,FEBRUARY ,02,2
INFORMATION TECHNOLOGY SOLUTIONS SPC,INDIAN,2016,FEBRUARY ,02,7
INSIGHT ENGINEERING CONSULTANTS,INDIAN,2016,FEBRUARY ,02,12
INSIGHT ENGINEERING CONSULTANTS,OMANI,2016,FEBRUARY ,02,2
KHALIL ABDULLAH YUSEF AL BALUSHI TRADING LLC,BANGLADESH,2016,FEBRUARY ,02,8
KHALIL ABDULLAH YUSEF AL BALUSHI TRADING LLC,INDIAN,2016,FEBRUARY ,02,10
NEW ROTANA ENTERPRISES LLC,INDIAN,2016,FEBRUARY ,02,43
NEW ROTANA ENTERPRISES LLC,OMANI,2016,FEBRUARY ,02,8
SILVER OASIS BUSINESS AND SERVICES,BANGLADESH,2016,FEBRUARY ,02,8
SILVER OASIS BUSINESS AND SERVICES,INDIAN,2016,FEBRUARY ,02,17
THANVEER CONCRETE AND STONE PRODUCTS SPC,INDIAN,2016,FEBRUARY ,02,1
THOMAS ALEXANDER,PHILIPPINE,2016,FEBRUARY ,02,1
ADRAK FACILITIES AND SERVICES LLC,INDIAN,2016,MARCH    ,03,25
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,BANGLADESH,2016,MARCH    ,03,3
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,BANGLADESH,2016,MARCH    ,03,"3,268"
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,INDIAN,2016,MARCH    ,03,"4,922"
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,NEPAL,2016,MARCH    ,03,27
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,OMANI,2016,MARCH    ,03,620
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,PAKISTAN,2016,MARCH    ,03,4
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,SRILENKAN,2016,MARCH    ,03,2
AL KHAITH INDUSTRIES AND SERVICES SPC,INDIAN,2016,MARCH    ,03,10
AL RASD CONSTRUCTION SPC,BANGLADESH,2016,MARCH    ,03,2
APEX ACCOUNTANCY CONSULTANTS AND SERVICES,INDIAN,2016,MARCH    ,03,2
BOLD POINT CONSTRUCTION,BANGLADESH,2016,MARCH    ,03,4
BOLD POINT CONSTRUCTION,INDIAN,2016,MARCH    ,03,11
HIGH-END BUSINESS SERVICES,INDIAN,2016,MARCH    ,03,2
INFORMATION TECHNOLOGY SOLUTIONS SPC,BANGLADESH,2016,MARCH    ,03,2
INFORMATION TECHNOLOGY SOLUTIONS SPC,INDIAN,2016,MARCH    ,03,7
INSIGHT ENGINEERING CONSULTANTS,INDIAN,2016,MARCH    ,03,12
INSIGHT ENGINEERING CONSULTANTS,OMANI,2016,MARCH    ,03,2
KHALIL ABDULLAH YUSEF AL BALUSHI TRADING LLC,BANGLADESH,2016,MARCH    ,03,8
KHALIL ABDULLAH YUSEF AL BALUSHI TRADING LLC,INDIAN,2016,MARCH    ,03,10
NEW ROTANA ENTERPRISES LLC,INDIAN,2016,MARCH    ,03,43
NEW ROTANA ENTERPRISES LLC,OMANI,2016,MARCH    ,03,8
SILVER OASIS BUSINESS AND SERVICES,BANGLADESH,2016,MARCH    ,03,8
SILVER OASIS BUSINESS AND SERVICES,INDIAN,2016,MARCH    ,03,17
THANVEER CONCRETE AND STONE PRODUCTS SPC,INDIAN,2016,MARCH    ,03,1
THOMAS ALEXANDER,PHILIPPINE,2016,MARCH    ,03,1
ADRAK FACILITIES AND SERVICES LLC,INDIAN,2016,APRIL    ,04,25
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,BANGLADESH,2016,APRIL    ,04,3
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,BANGLADESH,2016,APRIL    ,04,"3,241"
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,INDIAN,2016,APRIL    ,04,"4,786"
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,NEPAL,2016,APRIL    ,04,27
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,OMANI,2016,APRIL    ,04,591
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,PAKISTAN,2016,APRIL    ,04,4
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,SRILENKAN,2016,APRIL    ,04,2
AL KHAITH INDUSTRIES AND SERVICES SPC,INDIAN,2016,APRIL    ,04,10
AL RASD CONSTRUCTION SPC,BANGLADESH,2016,APRIL    ,04,2
APEX ACCOUNTANCY CONSULTANTS AND SERVICES,INDIAN,2016,APRIL    ,04,2
BOLD POINT CONSTRUCTION,BANGLADESH,2016,APRIL    ,04,4
BOLD POINT CONSTRUCTION,INDIAN,2016,APRIL    ,04,11
HIGH-END BUSINESS SERVICES,INDIAN,2016,APRIL    ,04,2
INFORMATION TECHNOLOGY SOLUTIONS SPC,BANGLADESH,2016,APRIL    ,04,2
INFORMATION TECHNOLOGY SOLUTIONS SPC,INDIAN,2016,APRIL    ,04,7
INSIGHT ENGINEERING CONSULTANTS,INDIAN,2016,APRIL    ,04,12
INSIGHT ENGINEERING CONSULTANTS,OMANI,2016,APRIL    ,04,2
KHALIL ABDULLAH YUSEF AL BALUSHI TRADING LLC,BANGLADESH,2016,APRIL    ,04,8
KHALIL ABDULLAH YUSEF AL BALUSHI TRADING LLC,INDIAN,2016,APRIL    ,04,10
NEW ROTANA ENTERPRISES LLC,INDIAN,2016,APRIL    ,04,43
NEW ROTANA ENTERPRISES LLC,OMANI,2016,APRIL    ,04,8
SILVER OASIS BUSINESS AND SERVICES,BANGLADESH,2016,APRIL    ,04,8
SILVER OASIS BUSINESS AND SERVICES,INDIAN,2016,APRIL    ,04,17
THANVEER CONCRETE AND STONE PRODUCTS SPC,INDIAN,2016,APRIL    ,04,1
THOMAS ALEXANDER,PHILIPPINE,2016,APRIL    ,04,1
ADRAK FACILITIES AND SERVICES LLC,INDIAN,2016,MAY      ,05,25
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,BANGLADESH,2016,MAY      ,05,3
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,BANGLADESH,2016,MAY      ,05,"3,154"
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,INDIAN,2016,MAY      ,05,"4,557"
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,NEPAL,2016,MAY      ,05,27
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,OMANI,2016,MAY      ,05,635
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,PAKISTAN,2016,MAY      ,05,4
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,SRILENKAN,2016,MAY      ,05,2
AL KHAITH INDUSTRIES AND SERVICES SPC,INDIAN,2016,MAY      ,05,10
AL RASD CONSTRUCTION SPC,BANGLADESH,2016,MAY      ,05,2
APEX ACCOUNTANCY CONSULTANTS AND SERVICES,INDIAN,2016,MAY      ,05,2
BOLD POINT CONSTRUCTION,BANGLADESH,2016,MAY      ,05,4
BOLD POINT CONSTRUCTION,INDIAN,2016,MAY      ,05,11
HIGH-END BUSINESS SERVICES,INDIAN,2016,MAY      ,05,2
INFORMATION TECHNOLOGY SOLUTIONS SPC,BANGLADESH,2016,MAY      ,05,2
INFORMATION TECHNOLOGY SOLUTIONS SPC,INDIAN,2016,MAY      ,05,7
INSIGHT ENGINEERING CONSULTANTS,INDIAN,2016,MAY      ,05,12
INSIGHT ENGINEERING CONSULTANTS,OMANI,2016,MAY      ,05,2
KHALIL ABDULLAH YUSEF AL BALUSHI TRADING LLC,BANGLADESH,2016,MAY      ,05,8
KHALIL ABDULLAH YUSEF AL BALUSHI TRADING LLC,INDIAN,2016,MAY      ,05,10
NEW ROTANA ENTERPRISES LLC,INDIAN,2016,MAY      ,05,40
NEW ROTANA ENTERPRISES LLC,OMANI,2016,MAY      ,05,8
SILVER OASIS BUSINESS AND SERVICES,BANGLADESH,2016,MAY      ,05,8
SILVER OASIS BUSINESS AND SERVICES,INDIAN,2016,MAY      ,05,17
THANVEER CONCRETE AND STONE PRODUCTS SPC,INDIAN,2016,MAY      ,05,1
THOMAS ALEXANDER,INDIAN,2016,MAY      ,05,1
THOMAS ALEXANDER,PHILIPPINE,2016,MAY      ,05,1
ADRAK FACILITIES AND SERVICES LLC,INDIAN,2016,JUNE     ,06,24
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,BANGLADESH,2016,JUNE     ,06,3
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,BANGLADESH,2016,JUNE     ,06,"3,027"
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,INDIAN,2016,JUNE     ,06,"4,394"
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,NEPAL,2016,JUNE     ,06,27
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,OMANI,2016,JUNE     ,06,612
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,PAKISTAN,2016,JUNE     ,06,2
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,SRILENKAN,2016,JUNE     ,06,2
AL KHAITH INDUSTRIES AND SERVICES SPC,INDIAN,2016,JUNE     ,06,10
AL RASD CONSTRUCTION SPC,BANGLADESH,2016,JUNE     ,06,2
APEX ACCOUNTANCY CONSULTANTS AND SERVICES,INDIAN,2016,JUNE     ,06,2
BOLD POINT CONSTRUCTION,BANGLADESH,2016,JUNE     ,06,4
BOLD POINT CONSTRUCTION,INDIAN,2016,JUNE     ,06,11
HIGH-END BUSINESS SERVICES,INDIAN,2016,JUNE     ,06,2
INFORMATION TECHNOLOGY SOLUTIONS SPC,BANGLADESH,2016,JUNE     ,06,2
INFORMATION TECHNOLOGY SOLUTIONS SPC,INDIAN,2016,JUNE     ,06,7
INSIGHT ENGINEERING CONSULTANTS,INDIAN,2016,JUNE     ,06,13
INSIGHT ENGINEERING CONSULTANTS,OMANI,2016,JUNE     ,06,2
KHALIL ABDULLAH YUSEF AL BALUSHI TRADING LLC,BANGLADESH,2016,JUNE     ,06,8
KHALIL ABDULLAH YUSEF AL BALUSHI TRADING LLC,INDIAN,2016,JUNE     ,06,11
NEW ROTANA ENTERPRISES LLC,INDIAN,2016,JUNE     ,06,40
NEW ROTANA ENTERPRISES LLC,OMANI,2016,JUNE     ,06,8
SILVER OASIS BUSINESS AND SERVICES,BANGLADESH,2016,JUNE     ,06,8
SILVER OASIS BUSINESS AND SERVICES,INDIAN,2016,JUNE     ,06,17
THANVEER CONCRETE AND STONE PRODUCTS SPC,INDIAN,2016,JUNE     ,06,1
THOMAS ALEXANDER,INDIAN,2016,JUNE     ,06,1
THOMAS ALEXANDER,PHILIPPINE,2016,JUNE     ,06,1
ADRAK FACILITIES AND SERVICES LLC,INDIAN,2016,JULY     ,07,23
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,BANGLADESH,2016,JULY     ,07,3
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,BANGLADESH,2016,JULY     ,07,"2,967"
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,INDIAN,2016,JULY     ,07,"4,150"
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,NEPAL,2016,JULY     ,07,26
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,OMANI,2016,JULY     ,07,601
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,PAKISTAN,2016,JULY     ,07,2
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,SRILENKAN,2016,JULY     ,07,2
AL KHAITH INDUSTRIES AND SERVICES SPC,INDIAN,2016,JULY     ,07,10
AL RASD CONSTRUCTION SPC,BANGLADESH,2016,JULY     ,07,2
APEX ACCOUNTANCY CONSULTANTS AND SERVICES,INDIAN,2016,JULY     ,07,2
BOLD POINT CONSTRUCTION,BANGLADESH,2016,JULY     ,07,4
BOLD POINT CONSTRUCTION,INDIAN,2016,JULY     ,07,11
HIGH-END BUSINESS SERVICES,INDIAN,2016,JULY     ,07,2
INFORMATION TECHNOLOGY SOLUTIONS SPC,BANGLADESH,2016,JULY     ,07,2
INFORMATION TECHNOLOGY SOLUTIONS SPC,INDIAN,2016,JULY     ,07,7
INSIGHT ENGINEERING CONSULTANTS,INDIAN,2016,JULY     ,07,14
INSIGHT ENGINEERING CONSULTANTS,OMANI,2016,JULY     ,07,2
KHALIL ABDULLAH YUSEF AL BALUSHI TRADING LLC,BANGLADESH,2016,JULY     ,07,8
KHALIL ABDULLAH YUSEF AL BALUSHI TRADING LLC,INDIAN,2016,JULY     ,07,11
NEW ROTANA ENTERPRISES LLC,INDIAN,2016,JULY     ,07,37
NEW ROTANA ENTERPRISES LLC,OMANI,2016,JULY     ,07,7
SILVER OASIS BUSINESS AND SERVICES,BANGLADESH,2016,JULY     ,07,8
SILVER OASIS BUSINESS AND SERVICES,INDIAN,2016,JULY     ,07,17
THANVEER CONCRETE AND STONE PRODUCTS SPC,INDIAN,2016,JULY     ,07,1
THOMAS ALEXANDER,INDIAN,2016,JULY     ,07,3
THOMAS ALEXANDER,PHILIPPINE,2016,JULY     ,07,1
ADRAK FACILITIES AND SERVICES LLC,INDIAN,2016,AUGUST   ,08,23
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,BANGLADESH,2016,AUGUST   ,08,3
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,BANGLADESH,2016,AUGUST   ,08,"2,911"
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,INDIAN,2016,AUGUST   ,08,"4,006"
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,NEPAL,2016,AUGUST   ,08,26
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,OMANI,2016,AUGUST   ,08,584
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,PAKISTAN,2016,AUGUST   ,08,1
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,SRILENKAN,2016,AUGUST   ,08,2
AL KHAITH INDUSTRIES AND SERVICES SPC,INDIAN,2016,AUGUST   ,08,10
AL RASD CONSTRUCTION SPC,BANGLADESH,2016,AUGUST   ,08,2
APEX ACCOUNTANCY CONSULTANTS AND SERVICES,INDIAN,2016,AUGUST   ,08,2
BOLD POINT CONSTRUCTION,BANGLADESH,2016,AUGUST   ,08,4
BOLD POINT CONSTRUCTION,INDIAN,2016,AUGUST   ,08,11
HIGH-END BUSINESS SERVICES,INDIAN,2016,AUGUST   ,08,2
INFORMATION TECHNOLOGY SOLUTIONS SPC,BANGLADESH,2016,AUGUST   ,08,2
INFORMATION TECHNOLOGY SOLUTIONS SPC,INDIAN,2016,AUGUST   ,08,7
INSIGHT ENGINEERING CONSULTANTS,INDIAN,2016,AUGUST   ,08,14
INSIGHT ENGINEERING CONSULTANTS,OMANI,2016,AUGUST   ,08,2
KHALIL ABDULLAH YUSEF AL BALUSHI TRADING LLC,BANGLADESH,2016,AUGUST   ,08,8
KHALIL ABDULLAH YUSEF AL BALUSHI TRADING LLC,INDIAN,2016,AUGUST   ,08,19
NEW ROTANA ENTERPRISES LLC,INDIAN,2016,AUGUST   ,08,35
NEW ROTANA ENTERPRISES LLC,OMANI,2016,AUGUST   ,08,7
SILVER OASIS BUSINESS AND SERVICES,BANGLADESH,2016,AUGUST   ,08,8
SILVER OASIS BUSINESS AND SERVICES,INDIAN,2016,AUGUST   ,08,17
THANVEER CONCRETE AND STONE PRODUCTS SPC,INDIAN,2016,AUGUST   ,08,1
THOMAS ALEXANDER,INDIAN,2016,AUGUST   ,08,3
THOMAS ALEXANDER,PHILIPPINE,2016,AUGUST   ,08,1
ADRAK FACILITIES AND SERVICES LLC,INDIAN,2016,SEPTEMBER,09,22
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,BANGLADESH,2016,SEPTEMBER,09,3
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,BANGLADESH,2016,SEPTEMBER,09,"2,702"
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,INDIAN,2016,SEPTEMBER,09,"3,745"
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,NEPAL,2016,SEPTEMBER,09,26
